,id,target,disposition,period,t0,duration
44,K00766.01,1,CONFIRMED,4.125543472,169.752585,3.1744
45,K00767.01,1,CONFIRMED,2.816504904,170.9676846,2.50587
46,K00768.01,0,FALSE POSITIVE,33.93373447,186.67608,14.561
47,K00786.01,1,CONFIRMED,3.689920099,170.36571,2.6557
48,K00787.01,1,CONFIRMED,4.431238488,171.015,3.15
49,K00787.02,1,CONFIRMED,11.37936986,133.84992,2.6255
50,K00788.01,1,CONFIRMED,26.39432897,176.05459,3.573
51,K00116.01,1,CONFIRMED,13.57078281,136.279194,3.3539
52,K00115.02,1,CONFIRMED,7.12594387,139.00492,3.0014
53,K00774.01,0,FALSE POSITIVE,7.442652004,169.9717797,2.3078
54,K00775.01,1,CONFIRMED,16.38489988,172.72782,3.0249
55,K00775.02,1,CONFIRMED,7.8774163,176.3759,2.0805
56,K00775.03,1,CONFIRMED,36.4454001,151.60125,4.007
57,K00776.01,1,CONFIRMED,3.728732147,171.793255,2.683
58,K00777.01,0,CANDIDATE,40.4195037,173.56469,3.362
59,K00778.01,1,CONFIRMED,2.243380573,170.679233,1.1196
60,K00779.01,0,FALSE POSITIVE,10.405998015,177.197466,6.5036
61,K00780.01,1,CONFIRMED,2.337437946,171.761982,1.9982
62,K00780.02,0,CANDIDATE,7.2406612,137.75545,0.558
63,K00115.03,0,CANDIDATE,3.43591631,132.6624,3.133
64,K00781.01,1,CONFIRMED,11.59822233,180.395376,2.5237
65,K00782.01,1,CONFIRMED,6.575315881,173.634044,4.3084
66,K00783.01,1,CONFIRMED,7.275040844,169.994217,7.5377
67,K00784.01,1,CONFIRMED,19.27153892,186.77093,2.7594
68,K00784.02,1,CONFIRMED,10.06524317,136.28906,1.369
69,K00785.01,1,CONFIRMED,12.3935651,178.74725,3.8896
70,K00116.02,1,CONFIRMED,43.84439721,151.93538,6.802
71,K00798.01,0,FALSE POSITIVE,3.341913228,171.63943,3.813
72,K00799.01,0,FALSE POSITIVE,1.626630225,169.820171,2.1145
73,K00800.01,1,CONFIRMED,2.711504086,170.03417,3.0099
74,K00800.02,1,CONFIRMED,7.21203748,172.81782,4.0491
75,K00789.01,0,FALSE POSITIVE,14.1798187,171.50237,2.505
76,K00790.01,1,CONFIRMED,8.47237911,174.16212,2.7245
77,K00790.02,1,CONFIRMED,60.4189369,181.16367,5.039
78,K00791.01,1,CONFIRMED,12.611904345,180.892284,5.1497
79,K00792.01,0,FALSE POSITIVE,1.433769925,170.403536,1.8868
80,K00793.01,0,FALSE POSITIVE,10.31872301,173.31543,3.836
81,K00794.01,1,CONFIRMED,2.539183147,169.67494,2.4282
82,K00795.01,1,CONFIRMED,6.770300385,170.57662,2.0844
83,K00796.01,0,FALSE POSITIVE,0.444291966,169.865406,2.0792
84,K00797.01,0,CANDIDATE,10.181584004,177.141891,3.5089
85,K00812.02,1,CONFIRMED,20.06036336,147.46554,3.3203
86,K00812.03,1,CONFIRMED,46.1842039,165.23729,4.758
87,K00116.04,1,CONFIRMED,23.9800854,147.537,5.351
88,K00812.04,1,CONFIRMED,7.82502168,136.54995,2.186
89,K00813.01,1,CONFIRMED,3.895936525,170.527552,2.3111
90,K00814.01,1,CONFIRMED,22.36646466,175.45862,5.228
91,K00801.01,1,CONFIRMED,1.625522174,170.8266564,2.38963
92,K00802.01,0,CANDIDATE,19.620346923,181.881819,2.0038
93,K00803.01,0,FALSE POSITIVE,7.544039,171.7982,6.222
94,K00804.01,1,CONFIRMED,9.02930689,177.20422,3.1449
95,K00805.01,0,FALSE POSITIVE,10.328035714,174.581054,7.7915
96,K00806.01,1,CONFIRMED,143.2063047,154.23552,8.9302
97,K00116.03,1,CONFIRMED,6.164876,135.63916,3.262
98,K00806.02,1,CONFIRMED,60.32494216,243.892578,6.6188
99,K00806.03,1,CONFIRMED,29.1598615,150.69922,4.803
100,K00807.01,0,FALSE POSITIVE,1.540397253,170.50479,2.1541
101,K00808.01,0,FALSE POSITIVE,2.99025443,171.9834,5.414
102,K00809.01,1,CONFIRMED,1.594745374,170.6483505,1.9604
103,K00810.01,1,CONFIRMED,4.783002698,170.508434,2.335
104,K00811.01,1,CONFIRMED,20.50588921,181.43428,4.0595
105,K00812.01,1,CONFIRMED,3.340218842,171.979062,1.9104
106,K00828.01,0,FALSE POSITIVE,2.507089906,171.002455,2.0067
107,K00829.01,1,CONFIRMED,18.64932728,174.771,4.4056
108,K00117.02,1,CONFIRMED,4.90144976,138.60548,4.1654
109,K00829.02,1,CONFIRMED,9.75192101,138.78608,4.793
110,K00829.03,1,CONFIRMED,38.5576546,163.85063,5.794
111,K00830.01,1,CONFIRMED,3.525632539,170.0479951,2.59959
112,K00815.01,0,CANDIDATE,34.84398644,172.633252,2.9315
113,K00816.01,1,CONFIRMED,7.748094239,174.997206,3.5957
114,K00817.01,1,CONFIRMED,23.96793669,186.22182,3.827
115,K00817.02,1,CONFIRMED,8.29561738,135.79284,1.3421
116,K00818.01,1,CONFIRMED,8.11437482,176.33968,2.2736
117,K00819.01,0,FALSE POSITIVE,38.036729482,196.934947,4.34617
118,K00820.01,0,CANDIDATE,4.64090031,173.64638,35.512
119,K00011.01,0,FALSE POSITIVE,3.747838198,171.66504,5.0642
120,K00117.01,1,CONFIRMED,14.74914825,138.77799,6.0995
121,K00821.01,1,CONFIRMED,21.81295996,174.01085,4.3791
122,K00822.01,0,FALSE POSITIVE,7.91936937,172.181092,3.3148
123,K00823.01,0,CANDIDATE,1.028436523,170.228582,1.8606
124,K00824.01,1,CONFIRMED,15.37562369,173.61402,3.3169
125,K00825.01,1,CONFIRMED,8.10363271,176.9486,3.161
126,K00825.02,1,CONFIRMED,4.71510843,134.96178,2.506
127,K00826.01,1,CONFIRMED,6.365839713,171.13575,2.9721
128,K00827.01,0,FALSE POSITIVE,5.97581754,174.77602,3.065
129,K00839.01,0,FALSE POSITIVE,2.446737317,170.66951,4.7211
130,K00840.01,1,CONFIRMED,3.04033046,169.9490106,1.8411
131,K00841.01,1,CONFIRMED,15.33528675,174.00278,3.897
132,K00117.04,1,CONFIRMED,7.95825328,137.80219,4.377
133,K00841.02,1,CONFIRMED,31.33046135,153.43031,5.176
134,K00831.01,0,FALSE POSITIVE,3.9043425,173.393734,3.831
135,K00832.01,0,FALSE POSITIVE,9.286358079,171.8214689,3.49949
136,K00833.01,0,FALSE POSITIVE,3.951405455,173.276125,2.1862
137,K00834.01,1,CONFIRMED,23.65369415,171.376107,8.2183
138,K00834.02,1,CONFIRMED,13.23352214,140.32196,6.7372
139,K00834.03,1,CONFIRMED,6.15560285,134.81656,4.9843
140,K00834.04,1,CONFIRMED,2.090811305,134.17462,3.388
141,K00117.03,1,CONFIRMED,3.180027898,133.49863,3.5797
142,K00834.05,1,CONFIRMED,50.4467417,178.5014,7.159
143,K00835.01,1,CONFIRMED,11.76307164,180.93613,2.9076
144,K00835.02,1,CONFIRMED,56.2279271,132.29259,3.57
145,K00836.01,0,FALSE POSITIVE,2.384052875,171.58362,3.0918
146,K00837.01,1,CONFIRMED,7.953547,174.66224,2.6312
147,K00837.02,1,CONFIRMED,4.14451656,135.92831,2.3421
148,K00838.01,0,FALSE POSITIVE,4.859386384,173.011469,2.2757
149,K00850.01,1,CONFIRMED,10.526294577,176.522462,2.5211
150,K00851.01,1,CONFIRMED,4.583520948,169.973972,2.7055
151,K00852.01,1,CONFIRMED,3.76181843,171.90364,3.5176
152,K00853.01,1,CONFIRMED,8.20396958,169.69138,2.9667
153,K00853.02,1,CONFIRMED,14.49645186,143.41659,4.016
154,K00841.03,1,CONFIRMED,6.54626149,133.85964,2.75
155,K00842.01,1,CONFIRMED,12.71809866,175.35526,3.0957
156,K00842.02,1,CONFIRMED,36.06588163,198.58423,4.3246
157,K00843.01,1,CONFIRMED,4.190425659,171.44122,2.8589
158,K00844.01,1,CONFIRMED,3.709870784,171.987982,3.0694
159,K00845.01,1,CONFIRMED,16.3297527,177.29506,6.271
160,K00846.01,1,CONFIRMED,27.807566216,186.713552,4.21587
161,K00847.01,1,CONFIRMED,80.8723469,203.895,11.195
162,K00848.01,0,FALSE POSITIVE,3.166465862,172.002627,2.9381
163,K00118.01,1,CONFIRMED,24.99324319,138.68167,5.9409
164,K00849.01,1,CONFIRMED,10.35533116,170.93729,3.1775
165,K00867.01,1,CONFIRMED,16.08518937,180.28319,3.984
166,K00868.01,0,CANDIDATE,235.9986399,208.399822,8.2284
167,K00869.01,1,CONFIRMED,7.49018305,174.95037,2.7297
168,K00869.02,1,CONFIRMED,36.2761238,201.2869,4.7865
169,K00869.03,1,CONFIRMED,17.46087931,137.26594,2.2641
170,K00854.01,1,CONFIRMED,56.0560754,201.16578,4.685
171,K00855.01,1,CONFIRMED,41.408316686,195.78745,5.0264
172,K00856.01,0,CANDIDATE,39.74893077,172.854644,7.3051
173,K00857.01,1,CONFIRMED,5.715425977,174.87931,2.5242
174,K00119.01,1,CONFIRMED,49.18394185,141.911924,11.3364
175,K00857.02,1,CONFIRMED,20.0261412,146.91109,1.611
176,K00858.01,0,CANDIDATE,13.61014819,173.987319,2.594
177,K00859.01,0,FALSE POSITIVE,10.44331991,175.4046,2.743
178,K00861.01,1,CONFIRMED,2.237489571,170.81914,1.8119
179,K00862.01,0,FALSE POSITIVE,5.851520671,173.8228336,3.11058
180,K00863.01,1,CONFIRMED,3.167893418,172.147959,2.1814
181,K00864.01,1,CONFIRMED,4.311780262,173.576483,2.7251
182,K00864.02,1,CONFIRMED,20.0504494,188.08821,4.556
183,K00864.03,1,CONFIRMED,9.76734503,186.57718,1.6585
184,K00865.01,0,CANDIDATE,119.0207044,222.236492,8.1405
185,K00119.02,1,CONFIRMED,190.3200468,312.68498,15.284
186,K00866.01,0,FALSE POSITIVE,2.861159894,171.648106,1.8832
187,K00880.01,1,CONFIRMED,26.44439337,194.12074,3.9783
188,K00880.02,1,CONFIRMED,51.53997972,174.055011,6.3994
189,K00880.03,1,CONFIRMED,5.902245782,136.78393,2.9003
190,K00880.04,1,CONFIRMED,2.382951591,135.080841,1.8876
191,K00881.01,1,CONFIRMED,21.02250608,207.67593,4.1072
192,K00869.04,1,CONFIRMED,3.219814777,133.00406,2.0642
193,K00870.01,1,CONFIRMED,5.912273234,172.184012,2.3254
194,K00870.02,1,CONFIRMED,8.98581901,175.68418,2.8606
195,K00871.01,0,CANDIDATE,12.940668656,179.423014,2.4845
196,K00120.01,0,FALSE POSITIVE,20.5452375,137.91394,2.517
197,K00872.01,1,CONFIRMED,33.60123371,186.680343,4.4056
198,K00872.02,1,CONFIRMED,6.76652928,138.0637,2.9004
199,K00873.01,1,CONFIRMED,4.347288783,172.23343,2.1024
200,K00874.01,1,CONFIRMED,4.601811819,169.98108,2.2607
201,K00874.02,1,CONFIRMED,11.18719905,137.17814,3.252
202,K00875.01,1,CONFIRMED,4.220965778,170.622433,3.0854
203,K00876.01,0,FALSE POSITIVE,6.998099523,171.898913,2.0488
204,K00877.01,1,CONFIRMED,5.95489993,170.955871,2.3892
205,K00877.02,1,CONFIRMED,12.03987488,181.22536,2.7363
206,K00877.03,1,CONFIRMED,20.83762895,132.08488,2.3734
207,K00121.01,0,FALSE POSITIVE,8.8111022,136.4568,5.0683
208,K00878.01,1,CONFIRMED,23.58917143,173.81994,5.073
209,K00123.01,1,CONFIRMED,6.481633073,122.977657,3.784
210,K00892.01,1,CONFIRMED,10.37168928,172.61729,3.035
211,K00892.02,1,CONFIRMED,3.96996298,137.75447,1.1757
212,K00893.01,1,CONFIRMED,4.40841331,172.18582,5.012
213,K00894.01,0,FALSE POSITIVE,7.9426176,174.52563,6.703
214,K00881.02,1,CONFIRMED,226.8904775,207.35971,7.558
215,K00882.01,0,FALSE POSITIVE,1.956811408,170.694208,2.1958
216,K00883.01,0,CANDIDATE,2.688899233,170.1020904,2.11275
217,K00884.01,1,CONFIRMED,9.439459486,177.186096,2.8979
218,K00122.01,1,CONFIRMED,11.523067458,131.969055,3.8757
219,K00884.02,1,CONFIRMED,20.47748843,178.66786,2.8364
220,K00884.03,1,CONFIRMED,3.336123113,135.31623,1.9616
221,K00886.01,1,CONFIRMED,8.01078456,170.20739,2.312
222,K00886.02,1,CONFIRMED,12.07134205,143.45948,4.3224
223,K00886.03,1,CONFIRMED,20.99587872,152.31554,2.6333
224,K00887.01,1,CONFIRMED,7.41113177,175.34754,2.5242
225,K00888.01,0,FALSE POSITIVE,1.000747038,169.974229,0.9967
226,K00889.01,1,CONFIRMED,8.884922995,169.991686,2.07004
227,K00890.01,1,CONFIRMED,8.09888906,176.623731,4.20241
228,K00891.01,1,CONFIRMED,10.00653012,176.96898,5.344
229,K00012.01,1,CONFIRMED,17.855221681,146.596466,7.41287
230,K00901.01,0,CANDIDATE,12.732624065,176.939054,2.2083
231,K00902.01,0,CANDIDATE,83.92494032,236.76334,6.7904
232,K00903.01,1,CONFIRMED,5.007316661,173.433997,4.2362
233,K00904.01,1,CONFIRMED,2.211116989,170.150139,1.6485
234,K00904.02,1,CONFIRMED,27.9541337,178.73791,3.95
235,K00124.01,1,CONFIRMED,12.69104387,137.12594,3.7727
236,K00895.01,0,FALSE POSITIVE,4.409409243,171.89433,3.8636
237,K00896.01,1,CONFIRMED,16.23947096,175.569907,4.0374
238,K00896.02,1,CONFIRMED,6.308201629,174.047661,2.9785
239,K00897.01,1,CONFIRMED,2.052349884,169.890622,2.0778
240,K00898.01,1,CONFIRMED,9.7704486,175.71372,2.4517
241,K00898.02,1,CONFIRMED,5.169804269,172.63153,2.153
242,K00123.02,1,CONFIRMED,21.22261195,137.57403,6.5093
243,K00898.03,1,CONFIRMED,20.09017037,147.97788,4.154
244,K00899.01,1,CONFIRMED,7.11373257,174.32351,2.1764
245,K00899.02,1,CONFIRMED,3.306551643,134.37211,1.8177
246,K00899.03,1,CONFIRMED,15.36845737,147.38965,2.4714
247,K00900.01,1,CONFIRMED,13.81020318,172.33533,3.048
248,K00911.01,1,CONFIRMED,4.093578461,171.00954,2.5833
249,K00911.02,1,CONFIRMED,105.145959,178.367,8.593
250,K00912.01,1,CONFIRMED,10.8484518,171.80584,2.9993
251,K00912.02,1,CONFIRMED,6.66833241,137.43988,1.915
252,K00913.01,1,CONFIRMED,4.082274889,169.6375652,3.23015
253,K00914.01,0,CANDIDATE,3.886655224,169.73814,3.1646
254,K00904.03,1,CONFIRMED,42.1406089,139.0604,5.083
255,K00904.04,1,CONFIRMED,4.617490562,135.04909,2.2618
256,K00904.05,1,CONFIRMED,10.19849255,137.92067,2.4283
257,K00905.01,0,FALSE POSITIVE,5.795063956,172.697467,3.2496
258,K00906.01,1,CONFIRMED,7.15681552,174.13511,2.5882
259,K00906.02,1,CONFIRMED,17.64830851,133.54533,2.0873
260,K00906.03,1,CONFIRMED,4.14810719,133.3881,2.535
261,K00907.01,1,CONFIRMED,16.51410989,176.11686,4.1575
262,K00907.02,1,CONFIRMED,30.1329298,190.38336,5.172
263,K00907.03,1,CONFIRMED,4.79090809,136.31106,2.603
264,K00124.02,1,CONFIRMED,31.71981013,142.82083,4.819
265,K00907.04,1,CONFIRMED,99.6415962,198.68664,4.448
266,K00908.01,1,CONFIRMED,4.708326451,171.446507,3.16114
267,K00909.01,0,FALSE POSITIVE,16.37198661,172.75926,3.8449
268,K00910.01,1,CONFIRMED,5.392026903,171.72707,2.9804
269,K00928.01,0,CANDIDATE,2.494170338,170.852848,1.1221
270,K00929.01,1,CONFIRMED,6.491682808,174.633553,4.301
271,K00930.01,0,FALSE POSITIVE,3.044770796,172.01916,10.0134
272,K00931.01,1,CONFIRMED,3.855603916,170.6787843,3.2179
273,K00932.01,0,FALSE POSITIVE,3.855599139,170.67957,3.183
274,K00125.01,1,CONFIRMED,38.47876629,151.852812,5.04169
275,K00915.01,0,FALSE POSITIVE,37.601661282,194.713383,8.30604
276,K00916.01,1,CONFIRMED,3.314947362,171.313058,1.8007
277,K00917.01,0,FALSE POSITIVE,6.71969089,173.35776,3.0231
278,K00918.01,1,CONFIRMED,39.6431552,206.596798,6.5292
279,K00919.01,0,FALSE POSITIVE,51.42598578,173.535933,16.9422
280,K00920.01,1,CONFIRMED,21.80451611,190.49737,3.4097
281,K00921.01,1,CONFIRMED,10.28194593,175.33988,3.4366
282,K00921.02,1,CONFIRMED,18.11993039,182.61535,4.2309
283,K00921.03,1,CONFIRMED,3.78402867,133.28133,1.9012
284,K00922.01,1,CONFIRMED,5.15448142,171.6389,3.228
285,K00126.01,0,FALSE POSITIVE,33.80364366,202.259731,11.4813
286,K00923.01,1,CONFIRMED,5.743469797,174.898924,3.4412
287,K00924.01,0,CANDIDATE,39.4759093,173.31207,2.968
288,K00925.01,0,FALSE POSITIVE,19.974485239,171.6300909,4.23479
289,K00926.01,1,CONFIRMED,3.166353562,170.966145,3.3129
290,K00927.01,0,FALSE POSITIVE,23.899634407,188.982797,3.81881
291,K00939.01,1,CONFIRMED,3.388012244,170.5336,2.6849
292,K00939.02,1,CONFIRMED,5.83909761,132.09261,3.1915
293,K00939.03,1,CONFIRMED,1.620467654,132.06388,2.1888
294,K00939.04,1,CONFIRMED,10.6816951,131.55082,3.605
295,K00940.01,1,CONFIRMED,6.104849417,169.573477,4.6912
296,K00127.01,1,CONFIRMED,3.578780566,134.0304187,2.91089
297,K00933.01,0,FALSE POSITIVE,3.187067566,171.64976,3.119
298,K00934.01,1,CONFIRMED,5.826657508,173.011411,2.9183
299,K00934.02,1,CONFIRMED,12.41216347,142.54039,3.739
300,K00934.03,1,CONFIRMED,18.74649011,147.13074,3.895
301,K00935.01,1,CONFIRMED,20.86021229,180.017757,5.1937
302,K00935.02,1,CONFIRMED,42.63427848,141.16954,6.1998
303,K00935.03,1,CONFIRMED,87.6476068,134.94222,8.871
304,K00935.04,0,CANDIDATE,9.61731426,142.47479,3.8692
305,K00936.01,1,CONFIRMED,9.467821474,178.415842,2.4327
306,K00936.02,1,CONFIRMED,0.893040969,134.540342,1.0981
307,K00128.01,1,CONFIRMED,4.942783419,136.3294353,3.25346
308,K00937.01,1,CONFIRMED,20.83426731,176.58569,4.0454
309,K00938.01,1,CONFIRMED,9.94602357,171.70192,3.3862
310,K00938.02,1,CONFIRMED,1.04562195,133.91912,1.8955
311,K00938.03,1,CONFIRMED,5.71462396,132.63866,2.336
312,K00145.01,0,FALSE POSITIVE,102.9641952,158.07473,15.735
313,K01102.02,1,CONFIRMED,8.14515981,140.56811,5.073
314,K01102.03,1,CONFIRMED,18.9985279,144.74157,4.529
315,K01102.04,1,CONFIRMED,4.24439049,137.06643,3.282
316,K01103.01,0,CANDIDATE,90.1240507,356.23415,11.649
317,K00150.02,1,CONFIRMED,28.5742692,143.8315,4.9427
318,K01168.01,0,CANDIDATE,856.672115,228.44988,23.144
319,K01169.01,0,CANDIDATE,0.689210173,133.28584,1.6169
320,K01170.01,1,CONFIRMED,7.34373964,137.29874,1.1784
321,K01171.01,0,FALSE POSITIVE,0.445277068,133.52312,3.539
322,K00966.01,0,FALSE POSITIVE,0.379463865,170.2480164,0.86896
323,K00967.01,0,FALSE POSITIVE,9.88047978,173.608672,2.78458
324,K00968.01,0,FALSE POSITIVE,4.6484156,261.09395,38.1939
325,K00969.01,0,FALSE POSITIVE,17.512014768,174.282592,1.8248
326,K00970.01,0,CANDIDATE,3.9886021,171.01852,1.7376
327,K00971.01,0,CANDIDATE,0.533059312,171.2274419,1.8621
328,K01044.01,0,FALSE POSITIVE,0.525154153,133.744359,2.1441
329,K01045.01,0,FALSE POSITIVE,1.303861044,134.212059,4.0541
330,K01046.01,0,FALSE POSITIVE,0.73452496,133.43108,6.7
331,K01047.01,0,FALSE POSITIVE,2.55549176,134.50078,9.083
332,K00014.01,0,FALSE POSITIVE,2.947376671,171.522978,2.0911
333,K00139.01,1,CONFIRMED,224.7789355,142.095338,11.1899
334,K01104.01,0,FALSE POSITIVE,0.890110752,133.2647,0.8774
335,K01105.01,0,FALSE POSITIVE,5.76573396,133.30941,2.924
336,K01106.01,1,CONFIRMED,7.42608123,139.90039,3.6379
337,K01106.02,1,CONFIRMED,15.9868932,137.5964,4.158
338,K01107.01,0,FALSE POSITIVE,0.73094589,133.68876,4.32
339,K01108.01,1,CONFIRMED,18.92537246,149.49558,3.9835
340,K01172.01,0,FALSE POSITIVE,0.933749106,134.31831,4.256
341,K01173.01,0,FALSE POSITIVE,2.037440623,133.59962,3.442
342,K01174.01,0,CANDIDATE,129995.7784,393.59962,9.408
343,K01175.01,1,CONFIRMED,31.5925809,142.9649,13.566
344,K01175.02,0,CANDIDATE,17.157236,133.68951,11.284
345,K01176.01,1,CONFIRMED,1.97376085,178.6894194,1.82542
346,K00972.01,0,CANDIDATE,13.118962443,261.539434,4.3045
347,K00133.01,0,FALSE POSITIVE,4.618767792,133.386535,5.9957
348,K00972.02,0,CANDIDATE,7.82187328,123.49907,3.8417
349,K00974.01,0,CANDIDATE,53.5057611,172.98304,10.5616
350,K00975.01,1,CONFIRMED,2.785821236,260.83731,3.5599
351,K00976.01,0,FALSE POSITIVE,52.56901867,184.971267,6.7507
352,K01048.01,0,FALSE POSITIVE,3.411758679,133.18086,3.158
353,K01049.01,0,FALSE POSITIVE,0.525426427,133.187901,1.0801
354,K01050.01,1,CONFIRMED,1.269091415,133.343682,1.4647
355,K01050.02,1,CONFIRMED,2.853133997,133.79678,1.465
356,K01051.01,1,CONFIRMED,6.79685353,138.11324,3.1702
357,K00146.01,0,FALSE POSITIVE,8.667822346,137.341841,4.9658
358,K01108.02,1,CONFIRMED,1.475323222,131.83272,2.3155
359,K01108.03,1,CONFIRMED,4.15246118,134.57991,2.5755
360,K01109.01,0,FALSE POSITIVE,6.7210783,134.7775984,7.46
361,K01110.01,1,CONFIRMED,8.7348852,135.0818,4.49
362,K01111.01,0,FALSE POSITIVE,10.26547688,136.49663,3.733
363,K00151.01,0,CANDIDATE,13.4471791,132.830555,3.0454
364,K01177.01,0,FALSE POSITIVE,3.305577989,180.68154,2.5903
365,K01178.01,0,FALSE POSITIVE,4.800653901,134.365782,9.0419
366,K01179.01,0,FALSE POSITIVE,15.06649901,140.654788,5.9885
367,K01180.01,0,FALSE POSITIVE,34.82008158,163.015559,11.1711
368,K01181.01,0,FALSE POSITIVE,0.651784374,133.111707,2.0141
369,K00977.01,0,FALSE POSITIVE,1.353771892,261.43662,7.012
370,K00978.01,0,FALSE POSITIVE,18.95491633,262.46677,24.249
371,K00979.01,0,FALSE POSITIVE,4.348866254,262.72768,3.2797
372,K00980.01,0,FALSE POSITIVE,47.93094546,179.096467,2.6897
373,K00981.01,0,FALSE POSITIVE,3.99751422,261.7243,3.686
374,K00982.01,0,FALSE POSITIVE,1.592633181,133.9243804,5.5605
375,K00134.01,0,CANDIDATE,67.5923754,151.75056,12.249
376,K01052.01,1,CONFIRMED,17.02902786,143.33395,4.645
377,K01052.02,1,CONFIRMED,6.84619236,132.17265,3.529
378,K01052.03,1,CONFIRMED,67.8321638,125.881,7.358
379,K01052.04,1,CONFIRMED,43.1312147,166.26105,3.198
380,K01053.01,1,CONFIRMED,1.224866441,133.20824,1.7086
381,K01112.01,1,CONFIRMED,37.8102649,158.35799,8.733
382,K01113.01,1,CONFIRMED,25.93406406,149.76273,4.6142
383,K01113.02,1,CONFIRMED,83.4463485,158.68061,6.536
384,K01114.01,0,FALSE POSITIVE,7.04710032,139.79737,2.926
385,K01115.01,1,CONFIRMED,12.99204853,136.32016,6.0175
386,K01182.01,0,FALSE POSITIVE,11.11620211,133.100575,4.211
387,K01183.01,0,FALSE POSITIVE,1.922861499,134.658644,3.5734
388,K01184.01,0,FALSE POSITIVE,0.635445336,134.184037,1.8592
389,K01185.01,0,FALSE POSITIVE,1.665784138,133.863028,1.8946
390,K01186.01,0,FALSE POSITIVE,55.6639167,156.35017,23.546
391,K00152.01,1,CONFIRMED,52.09081627,158.744665,8.6388
392,K00983.01,0,FALSE POSITIVE,7.1548608,266.04847,7.694
393,K00984.01,0,CANDIDATE,4.28746668,262.06245,1.5693
394,K00985.01,0,FALSE POSITIVE,2.002779769,261.95791,2.231
395,K00986.01,1,CONFIRMED,8.18739443,260.86931,3.0472
396,K00986.02,1,CONFIRMED,76.0498163,161.71445,7.158
397,K00139.02,1,CONFIRMED,3.341799486,141.35472,2.9254
398,K01054.01,0,FALSE POSITIVE,3.3226948,134.444,3.568
399,K01055.01,0,FALSE POSITIVE,36.97708808,133.62681,4.737
400,K01056.01,0,FALSE POSITIVE,1.851409163,133.17995,10.232
401,K01057.01,0,FALSE POSITIVE,1.303859704,134.21201,2.8239
402,K00147.01,0,FALSE POSITIVE,145.5624926,146.0588,5.4126
403,K01116.01,1,CONFIRMED,3.749105745,135.10837,1.9826
